hs_code,country,year,quantity
330300,AE,2022,252.0
330300,AE,2023,194.0
330300,AE,2024,350.0
330300,AM,2022,0.0
330300,AM,2023,8.0
330300,AM,2024,4.0
330300,AT,2022,0.0
330300,AT,2023,1.0
330300,AT,2024,0.0
330300,AU,2022,0.0
330300,AU,2023,0.0
330300,AU,2024,2.0
330300,BE,2022,11.0
330300,BE,2023,0.0
330300,BE,2024,1.0
330300,BG,2022,6.0
330300,BG,2023,3.0
330300,BG,2024,4.0
330300,BH,2022,8.0
330300,BH,2023,4.0
330300,BH,2024,8.0
330300,BR,2022,0.0
330300,BR,2023,0.0
330300,BR,2024,0.0
330300,BY,2022,1210.0
330300,BY,2023,1324.0
330300,BY,2024,754.0
330300,CA,2022,0.0
330300,CA,2023,0.0
330300,CA,2024,0.0
330300,CH,2022,172.0
330300,CH,2023,85.0
330300,CH,2024,179.0
330300,CL,2022,0.0
330300,CL,2023,0.0
330300,CL,2024,0.0
330300,CN,2022,57.0
330300,CN,2023,49.0
330300,CN,2024,79.0
330300,CY,2022,0.0
330300,CY,2023,0.0
330300,CY,2024,0.0
330300,CZ,2022,245.0
330300,CZ,2023,207.0
330300,CZ,2024,164.0
330300,DE,2022,1030.0
330300,DE,2023,684.0
330300,DE,2024,886.0
330300,DK,2022,18.0
330300,DK,2023,12.0
330300,DK,2024,15.0
330300,ES,2022,2209.0
330300,ES,2023,1796.0
330300,ES,2024,2273.0
330300,FR,2022,6887.0
330300,FR,2023,4236.0
330300,FR,2024,6094.0
330300,GB,2022,223.0
330300,GB,2023,177.0
330300,GB,2024,201.0
330300,GE,2022,0.0
330300,GE,2023,0.0
330300,GE,2024,0.0
330300,GR,2022,16.0
330300,GR,2023,24.0
330300,GR,2024,34.0
330300,HU,2022,0.0
330300,HU,2023,0.0
330300,HU,2024,0.0
330300,ID,2022,0.0
330300,ID,2023,0.0
330300,ID,2024,0.0
330300,IE,2022,1.0
330300,IE,2023,0.0
330300,IE,2024,0.0
330300,IL,2022,1.0
330300,IL,2023,0.0
330300,IL,2024,0.0
330300,IN,2022,1.0
330300,IN,2023,0.0
330300,IN,2024,0.0
330300,IT,2022,1444.0
330300,IT,2023,854.0
330300,IT,2024,1475.0
330300,JP,2022,0.0
330300,JP,2023,0.0
330300,JP,2024,0.0
330300,KG,2022,0.0
330300,KG,2023,0.0
330300,KG,2024,1.0
330300,KR,2022,1.0
330300,KR,2023,1.0
330300,KR,2024,0.0
330300,KZ,2022,29.0
330300,KZ,2023,167.0
330300,KZ,2024,270.0
330300,LT,2022,0.0
330300,LT,2023,0.0
330300,LT,2024,0.0
330300,LU,2022,1.0
330300,LU,2023,0.0
330300,LU,2024,0.0
330300,LV,2022,31.0
330300,LV,2023,0.0
330300,LV,2024,5.0
330300,MA,2022,0.0
330300,MA,2023,0.0
330300,MA,2024,0.0
330300,MX,2022,1.0
330300,MX,2023,0.0
330300,MX,2024,0.0
330300,NL,2022,2.0
330300,NL,2023,2.0
330300,NL,2024,1.0
330300,OM,2022,2.0
330300,OM,2023,3.0
330300,OM,2024,4.0
330300,PL,2022,2571.0
330300,PL,2023,2414.0
330300,PL,2024,2322.0
330300,RS,2022,0.0
330300,RS,2023,0.0
330300,RS,2024,0.0
330300,SA,2022,1.0
330300,SA,2023,0.0
330300,SA,2024,0.0
330300,SE,2022,460.0
330300,SE,2023,113.0
330300,SE,2024,15.0
330300,SI,2022,0.0
330300,SI,2023,0.0
330300,SI,2024,0.0
330300,SK,2022,0.0
330300,SK,2023,0.0
330300,SK,2024,0.0
330300,TH,2022,0.0
330300,TH,2023,0.0
330300,TH,2024,0.0
330300,TR,2022,240.0
330300,TR,2023,196.0
330300,TR,2024,586.0
330300,UA,2022,32.0
330300,UA,2023,36.0
330300,UA,2024,26.0
330300,US,2022,493.0
330300,US,2023,406.0
330300,US,2024,574.0
330300,UZ,2022,0.0
330300,UZ,2023,0.0
330300,UZ,2024,1.0
842810,AM,2022,0.0
842810,AM,2023,0.0
842810,AM,2024,0.0
842810,AT,2022,0.0
842810,AT,2023,0.0
842810,AT,2024,0.0
842810,BA,2022,0.0
842810,BA,2023,0.0
842810,BA,2024,0.0
842810,BE,2022,0.0
842810,BE,2023,40.0
842810,BE,2024,41.0
842810,BG,2022,85.0
842810,BG,2023,113.0
842810,BG,2024,116.0
842810,BY,2022,43201.0
842810,BY,2023,43332.0
842810,BY,2024,41784.0
842810,CA,2022,0.0
842810,CA,2023,0.0
842810,CA,2024,16.0
842810,CH,2022,2224.0
842810,CH,2023,1782.0
842810,CH,2024,758.0
842810,CN,2022,24657.0
842810,CN,2023,25955.0
842810,CN,2024,25690.0
842810,CZ,2022,218.0
842810,CZ,2023,216.0
842810,CZ,2024,50.0
842810,DE,2022,2436.0
842810,DE,2023,4518.0
842810,DE,2024,4957.0
842810,DK,2022,0.0
842810,DK,2023,8.0
842810,DK,2024,24.0
842810,EE,2022,0.0
842810,EE,2023,10.0
842810,EE,2024,114.0
842810,ES,2022,856.0
842810,ES,2023,965.0
842810,ES,2024,805.0
842810,FI,2022,1908.0
842810,FI,2023,3026.0
842810,FI,2024,1498.0
842810,FR,2022,274.0
842810,FR,2023,160.0
842810,FR,2024,61.0
842810,GB,2022,1.0
842810,GB,2023,1.0
842810,GB,2024,0.0
842810,GR,2022,1978.0
842810,GR,2023,1203.0
842810,GR,2024,1603.0
842810,HU,2022,0.0
842810,HU,2023,0.0
842810,HU,2024,0.0
842810,IN,2022,1.0
842810,IN,2023,0.0
842810,IN,2024,0.0
842810,IT,2022,2570.0
842810,IT,2023,300.0
842810,IT,2024,215.0
842810,JP,2022,0.0
842810,JP,2023,0.0
842810,JP,2024,0.0
842810,KR,2022,731.0
842810,KR,2023,306.0
842810,KR,2024,440.0
842810,KZ,2022,23.0
842810,KZ,2023,15.0
842810,KZ,2024,0.0
842810,LT,2022,423.0
842810,LT,2023,647.0
842810,LT,2024,382.0
842810,LU,2022,2.0
842810,LU,2023,0.0
842810,LU,2024,0.0
842810,LV,2022,0.0
842810,LV,2023,0.0
842810,LV,2024,0.0
842810,NL,2022,23.0
842810,NL,2023,15.0
842810,NL,2024,2.0
842810,NO,2022,0.0
842810,NO,2023,0.0
842810,NO,2024,0.0
842810,PL,2022,42.0
842810,PL,2023,27.0
842810,PL,2024,90.0
842810,RS,2022,713.0
842810,RS,2023,609.0
842810,RS,2024,357.0
842810,SE,2022,54.0
842810,SE,2023,89.0
842810,SE,2024,185.0
842810,SI,2022,41.0
842810,SI,2023,12.0
842810,SI,2024,0.0
842810,SK,2022,0.0
842810,SK,2023,0.0
842810,SK,2024,858.0
842810,TH,2022,0.0
842810,TH,2023,0.0
842810,TH,2024,6.0
842810,TR,2022,2987.0
842810,TR,2023,4653.0
842810,TR,2024,5777.0
842810,TW,2022,0.0
842810,TW,2023,0.0
842810,TW,2024,0.0
842810,UA,2022,147.0
842810,UA,2023,117.0
842810,UA,2024,232.0
842810,US,2022,1.0
842810,US,2023,0.0
842810,US,2024,1.0
842810,VN,2022,0.0
842810,VN,2023,0.0
842810,VN,2024,0.0
842810,ZA,2022,0.0
842810,ZA,2023,0.0
842810,ZA,2024,22.0
847290,AT,2022,0.0
847290,AT,2023,0.0
847290,AT,2024,0.0
847290,BE,2022,2.0
847290,BE,2023,0.0
847290,BE,2024,0.0
847290,BG,2022,0.0
847290,BG,2023,0.0
847290,BG,2024,0.0
847290,BY,2022,52.0
847290,BY,2023,24.0
847290,BY,2024,17.0
847290,CA,2022,0.0
847290,CA,2023,0.0
847290,CA,2024,0.0
847290,CH,2022,0.0
847290,CH,2023,0.0
847290,CH,2024,0.0
847290,CN,2022,10842.0
847290,CN,2023,6930.0
847290,CN,2024,8141.0
847290,CZ,2022,0.0
847290,CZ,2023,1.0
847290,CZ,2024,1.0
847290,DE,2022,1753.0
847290,DE,2023,1810.0
847290,DE,2024,1580.0
847290,DK,2022,0.0
847290,DK,2023,0.0
847290,DK,2024,1.0
847290,ES,2022,1.0
847290,ES,2023,0.0
847290,ES,2024,0.0
847290,FI,2022,0.0
847290,FI,2023,0.0
847290,FI,2024,0.0
847290,FR,2022,0.0
847290,FR,2023,1.0
847290,FR,2024,0.0
847290,GB,2022,0.0
847290,GB,2023,0.0
847290,GB,2024,0.0
847290,GE,2022,0.0
847290,GE,2023,0.0
847290,GE,2024,0.0
847290,HK,2022,7.0
847290,HK,2023,3.0
847290,HK,2024,3.0
847290,HU,2022,1303.0
847290,HU,2023,620.0
847290,HU,2024,777.0
847290,ID,2022,0.0
847290,ID,2023,0.0
847290,ID,2024,0.0
847290,IN,2022,223.0
847290,IN,2023,97.0
847290,IN,2024,131.0
847290,IT,2022,6.0
847290,IT,2023,19.0
847290,IT,2024,49.0
847290,JP,2022,36.0
847290,JP,2023,12.0
847290,JP,2024,279.0
847290,KP,2022,0.0
847290,KP,2023,0.0
847290,KP,2024,0.0
847290,KR,2022,638.0
847290,KR,2023,229.0
847290,KR,2024,223.0
847290,KZ,2022,1.0
847290,KZ,2023,0.0
847290,KZ,2024,0.0
847290,LT,2022,0.0
847290,LT,2023,0.0
847290,LT,2024,0.0
847290,MD,2022,0.0
847290,MD,2023,0.0
847290,MD,2024,0.0
847290,MX,2022,8.0
847290,MX,2023,4.0
847290,MX,2024,2.0
847290,MY,2022,0.0
847290,MY,2023,1.0
847290,MY,2024,2.0
847290,NL,2022,5.0
847290,NL,2023,5.0
847290,NL,2024,4.0
847290,PH,2022,52.0
847290,PH,2023,8.0
847290,PH,2024,13.0
847290,PL,2022,1.0
847290,PL,2023,7.0
847290,PL,2024,7.0
847290,PT,2022,0.0
847290,PT,2023,0.0
847290,PT,2024,0.0
847290,SE,2022,1.0
847290,SE,2023,1.0
847290,SE,2024,1.0
847290,SG,2022,3.0
847290,SG,2023,0.0
847290,SG,2024,0.0
847290,SI,2022,0.0
847290,SI,2023,0.0
847290,SI,2024,0.0
847290,SK,2022,0.0
847290,SK,2023,0.0
847290,SK,2024,0.0
847290,TH,2022,0.0
847290,TH,2023,0.0
847290,TH,2024,0.0
847290,TR,2022,0.0
847290,TR,2023,0.0
847290,TR,2024,0.0
847290,TW,2022,56.0
847290,TW,2023,18.0
847290,TW,2024,25.0
847290,UA,2022,0.0
847290,UA,2023,0.0
847290,UA,2024,0.0
847290,US,2022,6.0
847290,US,2023,2.0
847290,US,2024,1.0
847290,VN,2022,0.0
847290,VN,2023,9.0
847290,VN,2024,73.0
